city,date,hour,temperature_c,pressure_mm,is_rainy,condition
Moscow,2024-02-01,0,-1,745,0,overcast
Moscow,2024-02-01,1,-1,743,0,overcast
Moscow,2024-02-01,2,-1,743,0,overcast
Moscow,2024-02-01,3,-1,743,1,wet-snow
Moscow,2024-02-01,4,-1,741,1,wet-snow
Moscow,2024-02-01,5,1,741,1,wet-snow
Moscow,2024-02-01,6,1,741,1,wet-snow
Moscow,2024-02-01,7,0,740,1,wet-snow
Moscow,2024-02-01,8,0,739,0,overcast
Moscow,2024-02-01,9,0,739,0,overcast
Moscow,2024-02-01,10,0,739,0,overcast
Moscow,2024-02-01,11,2,738,0,overcast
Moscow,2024-02-01,12,1,738,0,overcast
Moscow,2024-02-01,13,1,736,0,overcast
Moscow,2024-02-01,14,1,736,0,overcast
Moscow,2024-02-01,15,1,736,0,overcast
Moscow,2024-02-01,16,1,735,0,overcast
Moscow,2024-02-01,17,1,735,0,overcast
Moscow,2024-02-01,18,1,735,0,overcast
Moscow,2024-02-01,19,1,734,0,overcast
Moscow,2024-02-01,20,1,733,0,overcast
Moscow,2024-02-01,21,1,733,0,overcast
Moscow,2024-02-01,22,0,732,0,overcast
Moscow,2024-02-01,23,0,732,1,wet-snow
Moscow,2024-02-02,0,0,732,1,wet-snow
Moscow,2024-02-02,1,0,731,1,wet-snow
Moscow,2024-02-02,2,0,731,1,wet-snow
Moscow,2024-02-02,3,0,731,1,wet-snow
Moscow,2024-02-02,4,0,731,1,wet-snow
Moscow,2024-02-02,5,0,731,1,wet-snow
Moscow,2024-02-02,6,0,731,1,wet-snow
Moscow,2024-02-02,7,0,730,1,wet-snow
Moscow,2024-02-02,8,0,731,1,wet-snow
Moscow,2024-02-02,9,0,732,1,wet-snow
Moscow,2024-02-02,10,0,731,1,wet-snow
Moscow,2024-02-02,11,-1,732,1,wet-snow
Moscow,2024-02-02,12,0,733,1,wet-snow
Moscow,2024-02-02,13,-1,733,1,wet-snow
Moscow,2024-02-02,14,-1,733,1,wet-snow
Moscow,2024-02-02,15,-1,734,1,wet-snow
Moscow,2024-02-02,16,-2,734,1,wet-snow
Moscow,2024-02-02,17,-2,734,1,wet-snow
Moscow,2024-02-02,18,-2,735,1,wet-snow
Moscow,2024-02-02,19,-3,735,1,light-snow
Moscow,2024-02-02,20,-3,734,1,light-snow
Moscow,2024-02-02,21,-3,735,1,light-snow
Moscow,2024-02-02,22,-4,735,1,light-snow
Moscow,2024-02-02,23,-4,735,1,light-snow
Moscow,2024-02-03,0,-4,735,1,light-snow
Moscow,2024-02-03,1,-4,735,1,light-snow
Moscow,2024-02-03,2,-4,735,1,light-snow
Moscow,2024-02-03,3,-5,735,1,light-snow
Moscow,2024-02-03,4,-5,734,1,light-snow
Moscow,2024-02-03,5,-5,734,1,light-snow
Moscow,2024-02-03,6,-5,734,1,light-snow
Moscow,2024-02-03,7,-5,733,1,light-snow
Moscow,2024-02-03,8,-5,733,1,light-snow
Moscow,2024-02-03,9,-5,732,1,light-snow
Moscow,2024-02-03,10,-5,731,1,light-snow
Moscow,2024-02-03,11,-4,730,0,overcast
Moscow,2024-02-03,12,-4,731,1,light-snow
Moscow,2024-02-03,13,-3,729,1,light-snow
Moscow,2024-02-03,14,-3,729,1,light-snow
Moscow,2024-02-03,15,-2,729,1,light-snow
Moscow,2024-02-03,16,-2,728,1,light-snow
Moscow,2024-02-03,17,-2,727,1,light-snow
Moscow,2024-02-03,18,-2,727,1,light-snow
Moscow,2024-02-03,19,-2,726,1,light-snow
Moscow,2024-02-03,20,-2,726,1,light-snow
Moscow,2024-02-03,21,-2,727,1,light-snow
Moscow,2024-02-03,22,-2,725,1,light-snow
Moscow,2024-02-03,23,-2,724,1,light-snow
Moscow,2024-02-04,0,-1,724,1,light-snow
Moscow,2024-02-04,1,-1,724,1,light-snow
Moscow,2024-02-04,2,-1,724,1,light-snow
Moscow,2024-02-04,3,0,723,1,light-snow
Moscow,2024-02-04,4,0,723,1,wet-snow
Moscow,2024-02-04,5,1,723,1,wet-snow
Moscow,2024-02-04,6,1,722,1,wet-snow
Moscow,2024-02-04,7,1,722,1,wet-snow
Moscow,2024-02-04,8,1,722,1,wet-snow
Moscow,2024-02-04,9,0,723,0,cloudy
Moscow,2024-02-04,10,0,724,0,cloudy
Moscow,2024-02-04,11,0,725,0,cloudy
Moscow,2024-02-04,12,1,726,0,cloudy
Moscow,2024-02-04,13,1,726,0,cloudy
Moscow,2024-02-04,14,1,726,0,cloudy
Moscow,2024-02-04,15,1,727,0,overcast
Kazan,2024-02-01,0,-5,686,0,clear
Kazan,2024-02-01,1,-3,685,0,clear
Kazan,2024-02-01,2,-4,687,0,clear
Kazan,2024-02-01,3,-4,687,0,clear
Kazan,2024-02-01,4,-5,685,0,clear
Kazan,2024-02-01,5,-6,687,0,clear
Kazan,2024-02-01,6,-5,684,0,clear
Kazan,2024-02-01,7,-7,685,0,clear
Kazan,2024-02-01,8,-6,687,0,clear
Kazan,2024-02-01,9,-6,684,0,clear
Kazan,2024-02-01,10,-2,686,0,clear
Kazan,2024-02-01,11,1,686,0,clear
Kazan,2024-02-01,12,3,688,0,clear
Kazan,2024-02-01,13,5,688,0,clear
Kazan,2024-02-01,14,6,687,0,clear
Kazan,2024-02-01,15,6,687,0,clear
Kazan,2024-02-01,16,5,686,0,clear
Kazan,2024-02-01,17,5,686,0,clear
Kazan,2024-02-01,18,3,686,0,clear
Kazan,2024-02-01,19,1,685,0,clear
Kazan,2024-02-01,20,-1,685,0,clear
Kazan,2024-02-01,21,-2,686,0,clear
Kazan,2024-02-01,22,-3,684,0,clear
Kazan,2024-02-01,23,-3,683,0,clear
Kazan,2024-02-02,0,-4,685,0,clear
Kazan,2024-02-02,1,-4,683,0,clear
Kazan,2024-02-02,2,-5,683,0,clear
Kazan,2024-02-02,3,-5,686,0,clear
Kazan,2024-02-02,4,-5,683,0,clear
Kazan,2024-02-02,5,-5,683,0,clear
Kazan,2024-02-02,6,-5,685,0,clear
Kazan,2024-02-02,7,-6,682,0,clear
Kazan,2024-02-02,8,-6,683,0,clear
Kazan,2024-02-02,9,-4,686,0,clear
Kazan,2024-02-02,10,-1,684,0,clear
Kazan,2024-02-02,11,2,684,0,clear
Kazan,2024-02-02,12,3,686,0,clear
Kazan,2024-02-02,13,6,684,0,clear
Kazan,2024-02-02,14,7,685,0,clear
Kazan,2024-02-02,15,7,685,0,clear
Kazan,2024-02-02,16,7,684,0,cloudy
Kazan,2024-02-02,17,6,684,0,clear
Kazan,2024-02-02,18,4,684,0,cloudy
Kazan,2024-02-02,19,2,682,0,cloudy
Kazan,2024-02-02,20,1,683,0,cloudy
Kazan,2024-02-02,21,0,685,0,cloudy
Kazan,2024-02-02,22,0,683,0,cloudy
Kazan,2024-02-02,23,0,684,0,cloudy
Kazan,2024-02-03,0,0,686,0,cloudy
Kazan,2024-02-03,1,0,684,0,cloudy
Kazan,2024-02-03,2,-1,684,0,cloudy
Kazan,2024-02-03,3,-1,685,0,cloudy
Kazan,2024-02-03,4,-2,683,0,cloudy
Kazan,2024-02-03,5,-2,684,0,cloudy
Kazan,2024-02-03,6,-2,686,0,cloudy
Kazan,2024-02-03,7,-2,684,0,cloudy
Kazan,2024-02-03,8,-2,684,0,cloudy
Kazan,2024-02-03,9,-1,687,0,cloudy
Kazan,2024-02-03,10,1,685,0,cloudy
Kazan,2024-02-03,11,3,685,0,cloudy
Kazan,2024-02-03,12,4,688,0,cloudy
Kazan,2024-02-03,13,5,686,0,cloudy
Kazan,2024-02-03,14,6,686,0,cloudy
Kazan,2024-02-03,15,6,687,0,cloudy
Kazan,2024-02-03,16,5,686,0,cloudy
