,product_10,product_11,product_12,product_13,product_14,product_15,product_16,product_17,product_18,product_19,product_20,product_21,product_22,product_23,product_24,product_25,product_26,product_27,product_28,product_29,product_30,product_31,product_32,product_33,product_34,product_35,product_36,product_37,product_38,product_39
2016-01-01,2616.3,3548.8,3898.3,2173.9,845.82,1600.8,3019.2,488.03,2924.9,575.77,1630.4,340.11,1653.7,1951.0,519.87,467.52,2847.5,1868.1,1719.7,435.09,2394.3,1284.2,1996.5,3888.6,951.88,434.17,2313.1,1946.3,2045.0,2440.3
2016-01-02,2507.9,3666.3,3987.2,2309.4,835.09,1589.1,2982.1,993.1,2567.3,597.55,1510.2,397.19,1684.1,2018.8,518.2,459.36,2975.2,1972.1,1630.2,454.07,2335.8,1265.1,2079.5,3793.9,1112.0,429.92,2242.9,2064.1,2076.4,2304.4
2016-01-03,2548.7,3593.0,3955.7,2365.1,828.74,1527.7,3356.4,508.29,3080.3,595.6,1568.5,325.15,1514.6,2039.9,556.96,463.81,2889.1,2043.1,1640.2,446.17,2389.3,1256.0,2054.2,3937.5,1100.4,451.81,2500.4,1884.0,1906.3,2244.8
2016-01-04,2492.4,3432.9,4024.1,2286.7,802.93,1614.8,2352.6,473.96,3042.9,597.33,1679.5,416.08,1543.1,1773.9,507.54,436.54,2698.9,1818.0,1712.1,450.1,2418.8,1215.5,2095.5,4274.6,1081.2,448.8,2543.8,1834.8,1935.1,2255.8
2016-01-05,2707.5,3661.1,4041.6,2293.0,819.55,1584.4,2529.2,630.37,3094.1,571.56,1874.3,370.31,1696.5,1907.1,560.54,457.68,2432.1,1822.5,1715.3,441.93,2464.4,1197.6,2292.7,3897.3,1039.0,441.35,2261.1,2039.7,1762.8,2367.5
2016-01-06,2486.0,2932.5,4230.1,2275.7,808.44,1549.6,2423.4,488.02,3039.1,570.35,1816.8,373.25,1561.6,1753.7,539.33,474.56,2839.1,1670.6,1839.9,439.87,2536.2,1252.8,2032.5,4001.1,1099.0,445.18,2402.9,2059.1,1870.5,2131.2
2016-01-07,2484.0,3416.8,4125.9,2317.7,825.5,1550.6,2766.2,591.11,3325.0,569.21,1725.7,339.65,1909.3,1805.1,515.09,470.68,2859.0,1664.3,1816.5,444.18,2661.7,1168.3,1944.9,4223.5,954.12,458.68,2499.3,2120.2,1860.9,2162.7
2016-01-08,2611.9,3516.2,4212.1,2410.2,846.86,1492.4,3019.4,591.68,3034.9,552.37,1729.7,390.87,1975.4,1835.1,508.59,467.34,2861.9,1568.3,1453.5,438.6,2622.5,1359.6,2269.3,3756.3,1048.0,455.34,2354.5,1971.2,2044.4,2309.2
2016-01-09,2373.0,3524.2,4017.7,2203.8,825.89,1436.5,2178.8,944.96,3072.4,537.69,1759.3,424.06,1875.0,1740.8,525.74,440.38,2991.1,1810.1,1538.6,434.94,2751.2,1238.2,2198.1,3838.5,1085.9,455.85,2467.3,1955.6,2164.2,2327.7
2016-01-10,2333.2,3588.8,4145.2,2194.8,828.2,1600.3,2183.9,928.26,3246.5,543.01,1705.7,402.31,1782.4,1769.6,521.09,451.8,2960.0,1642.5,1411.9,439.9,2672.3,1276.5,2174.4,3848.2,1136.1,466.84,2251.1,2124.0,2166.5,2236.3
2016-01-11,2430.5,3603.5,4195.7,2395.2,847.2,1562.6,2246.0,999.88,2997.0,582.39,1662.2,355.7,1856.5,1740.6,498.75,433.38,2835.2,1814.7,1492.8,454.13,2773.0,1227.9,2339.5,3916.1,1007.1,482.02,2491.8,1951.0,1622.2,2315.5
2016-01-12,2575.4,3494.5,4307.4,2205.4,892.7,1598.2,2653.9,998.17,3116.6,551.36,1751.6,370.96,2099.4,1934.6,511.93,416.27,2810.9,1784.0,1715.3,428.88,2480.2,1077.1,1999.3,3848.6,1035.0,495.41,2335.9,1951.4,1801.7,2222.9
2016-01-13,2322.5,3712.2,4109.4,2134.0,871.81,1637.2,2823.2,527.23,3061.3,582.32,1768.4,402.54,1935.8,1811.5,510.02,425.54,2944.9,1936.6,1740.1,427.92,2600.3,1110.5,2003.8,3663.3,1082.1,499.1,2495.0,1933.6,2001.9,2252.2
2016-01-14,2557.8,3606.0,4126.6,1971.0,860.57,1637.9,2888.6,450.23,2766.7,534.25,1656.1,392.91,2024.2,1871.1,540.5,449.72,3045.5,1948.3,1765.3,399.61,2672.7,1142.6,2072.8,3725.9,1056.2,472.1,2618.3,1863.8,2018.0,2362.3
2016-01-15,2436.8,3479.1,3957.8,2085.2,851.91,1614.7,3145.0,540.27,2747.9,539.15,1724.6,392.66,1861.2,1949.1,510.05,391.08,3230.5,1962.8,1687.4,422.26,2646.9,1297.3,2211.6,3574.8,1009.6,460.41,2220.7,1951.0,2034.9,2290.0
